LSOA11CD,total_length_meters_2011,length_meters_2020
E01001197,24.2,27.5
E01001198,80.3,12.7
E01001200,164.9,80.0
E01001202,33.4,332.5
E01001208,621.2,1691.8
E01001209,83.0,89.3
E01001210,76.0,816.3
E01001221,11.7,252.4
E01001222,16.7,469.5
E01001223,399.1,409.9
E01001230,1.5,1.7
E01001233,264.7,276.3
E01001234,205.8,1186.2
E01001235,12.7,2002.3
E01001237,1.8,50.8
E01001238,28.4,3099.9
E01001244,84.1,883.8
E01001245,29.1,22.2
E01001246,997.9,1106.5
E01001247,1433.3,2584.4
E01001248,915.6,931.8
E01001249,32.9,38.7
E01001252,14.6,424.2
E01001253,218.6,436.9
E01001254,311.7,420.6
E01001258,6.7,12.8
E01001262,1190.5,2656.4
E01001263,897.8,1729.3
E01001264,2049.8,1958.0
E01001265,487.7,1093.5
E01001266,681.6,971.2
E01001267,1018.5,1382.9
E01001268,866.4,873.6
E01001270,54.1,0
E01001271,27.9,67.4
E01001272,17.5,39.9
E01001273,19.6,91.6
E01001274,307.4,322.3
E01001276,127.7,489.7
E01001277,1408.7,2581.8
E01001278,964.8,1466.1
E01001280,159.1,917.2
E01001281,92.9,412.2
E01001284,249.2,807.1
E01001301,6.8,588.9
E01001307,612.6,852.6
E01001308,1338.8,771.5
E01001309,140.3,101.8
E01001312,171.9,301.4
E01001314,565.9,762.5
E01001315,51.6,0
E01001320,954.3,970.8
E01001321,805.4,946.1
E01001322,76.6,411.3
E01001323,268.2,426.1
E01001324,1290.7,2302.6
E01001325,888.0,892.8
E01001326,39.9,634.9
E01001327,483.7,750.7
E01001328,1512.3,1896.7
E01001329,309.9,327.7
E01001330,1027.4,1122.5
E01001331,140.6,141.3
E01001337,32.3,293.6
E01001338,87.8,157.1
E01001339,25.9,193.5
E01001341,13.8,16.2
E01001344,134.0,239.3
E01001345,3.5,0
E01001346,222.3,222.0
E01001347,448.6,1591.8
E01001348,1109.5,1789.7
E01001349,1177.2,1394.1
E01001351,291.3,636.8
E01001355,1.7,8.3
E01001356,187.5,192.8
E01001357,138.3,156.8
E01001358,12.6,56.7
E01001361,64.8,99.8
E01001381,187.6,59.4
E01001386,177.7,2573.5
E01001387,56.9,2109.5
E01001388,176.2,299.1
E01001402,0.7,1126.1
E01001407,18.4,1679.0
E01001412,5412.0,8389.9
